arc_challenge,choice,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.208,283.77%,3,0.207,45.13%,2,13.39%,32.16%,2
Llama-3-8B,-0.046,-40.51%,7,0.070,11.49%,4,7.55%,10.46%,3
Mistral-7B,0.036,30.08%,4,0.052,8.67%,5,-4.55%,-6.41%,6
OLMo-7B,0.343,764.72%,1,0.337,85.13%,1,30.82%,115.43%,1
gemma-7b,0.239,745.62%,2,0.103,16.08%,3,-4.98%,-6.50%,7
Llama-3-70B,-0.008,-14.65%,5,0.029,4.11%,6,2.06%,2.30%,4
Qwen2-72B,-0.020,-33.87%,6,0.023,3.14%,7,0.69%,0.73%,5
,,,,,,,,,
arc_easy,choice,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,-0.053,-25.66%,3,0.152,28.38%,2,15.18%,26.51%,2
Llama-3-8B,-0.128,-86.35%,7,0.037,5.39%,4,5.07%,5.86%,3
Mistral-7B,-0.080,-55.11%,4,0.023,3.46%,5,-1.56%,-1.85%,6
OLMo-7B,0.153,344.49%,1,0.350,89.39%,1,51.54%,191.67%,1
gemma-7b,0.074,123.99%,2,0.056,8.03%,3,-1.99%,-2.26%,7
Llama-3-70B,-0.058,-84.11%,6,0.010,1.30%,6,0.80%,0.83%,4
Qwen2-72B,-0.028,-70.42%,5,0.006,0.83%,7,0.17%,0.17%,5
,,,,,,,,,
hellaswag,choice,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.142,534.41%,1,0.163,39.48%,2,19.13%,63.80%,2
Llama-3-8B,0.000,0.53%,4,0.115,24.16%,4,24.56%,58.22%,3
