arc_challenge,contunuation_min,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.099,55.35%,2,0.030,5.51%,3,-4.46%,-10.24%,5
Llama-3-8B,0.056,32.46%,4,0.035,6.08%,2,1.46%,2.97%,1
Mistral-7B,0.078,52.04%,3,0.022,3.92%,5,-2.58%,-5.16%,3
OLMo-7B,0.071,29.75%,5,0.029,5.38%,4,-0.94%,-2.50%,2
gemma-7b,0.164,102.47%,1,0.054,9.40%,1,-4.38%,-8.93%,4
Llama-3-70B,,,,,,,,,
Qwen2-72B,,,,,,,,,
,,,,,,,,,
arc_easy,contunuation_min,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.090,359.36%,2,0.020,3.24%,4,-4.06%,-5.87%,4
Llama-3-8B,0.042,128.26%,5,0.028,4.36%,1,2.45%,3.34%,1
Mistral-7B,0.046,233.26%,3,0.010,1.52%,5,-1.73%,-2.32%,3
OLMo-7B,0.054,131.53%,4,0.022,3.74%,3,-0.93%,-1.42%,2
gemma-7b,0.119,653.44%,1,0.027,4.28%,2,-6.26%,-8.17%,5
Llama-3-70B,,,,,,,,,
Qwen2-72B,,,,,,,,,
,,,,,,,,,
hellaswag,contunuation_min,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,-0.019,-8.86%,5,0.003,0.53%,3,2.07%,4.24%,1
Llama-3-8B,0.028,14.48%,3,-0.008,-1.25%,4,-4.21%,-7.94%,3
Mistral-7B,0.067,48.93%,2,-0.016,-2.67%,5,-9.26%,-16.01%,5
OLMo-7B,0.005,3.15%,4,0.015,2.52%,2,2.14%,4.02%,2
gemma-7b,0.167,107.76%,1,0.044,7.15%,1,-8.06%,-13.99%,4
Llama-3-70B,,,,,,,,,
Qwen2-72B,,,,,,,,,
,,,,,,,,,
medmcqa,contunuation_min,,,,,,,,
,ece change(IT-PT),change ratio((IT-PT/)PT),ratio rank,sce change(IT-PT),change ratio((IT-PT/)PT),ratio rank,acc change(IT-PT),change ratio((IT-PT/)PT),ratio rank
Llama-2-7b,0.044,14.35%,2,0.023,4.34%,2,-0.02%,-0.08%,2
Llama-3-8B,0.029,8.93%,4,0.009,1.69%,4,-0.96%,-3.09%,3
Mistral-7B,0.031,10.57%,3,0.006,1.16%,5,-1.84%,-5.95%,5
OLMo-7B,0.021,6.53%,5,0.020,3.65%,3,1.31%,4.67%,1
gemma-7b,0.138,44.56%,1,0.062,11.34%,1,-1.51%,-4.80%,4
Llama-3-70B,,,,,,,,,
Qwen2-72B,,,,,,,,,
,,,,,,,,,
